# sent_id = uppsalaBitov_2.xml_2
# text = В жизни Левы Одоевцева, из тех самых Одоевцевых, не случалось особых потрясений - она в основном протекала.
1	В	в	ADP	_	_	2	case	2:case	_
2	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	12	obl	12:obl	_
3	Левы	Лева	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	2	nmod	2:nmod	_
4	Одоевцева	Одоевцев	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	3	flat:name	3:flat:name	SpaceAfter=No
5	,	,	PUNCT	_	_	9	punct	9:punct	_
6	из	из	ADP	_	_	9	case	9:case	_
7	тех	тот	DET	_	Case=Gen|Number=Plur	9	det	9:det	_
8	самых	самый	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	7	amod	7:amod	_
9	Одоевцевых	Одоевцев	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	3	nmod	3:nmod	SpaceAfter=No
10	,	,	PUNCT	_	_	2	punct	2:punct	_
11	не	не	PART	_	_	12	advmod	12:advmod	_
12	случалось	случаться	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	0	root	0:root	_
13	особых	особый	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	14	amod	14:amod	_
14	потрясений	потрясение	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	12	nsubj	12:nsubj	_
15	-	-	PUNCT	_	_	19	punct	19:punct	_
16	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	19	nsubj	19:nsubj	_
17	в	в	ADP	_	_	18	case	18:case	_
18	основном	основной	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	19	obl	19:obl	_
19	протекала	протекать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	12	parataxis	12:parataxis	SpaceAfter=No
20	.	.	PUNCT	_	_	12	punct	12:punct	_

# sent_id = uppsalaBitov_2.xml_3
# text = Образно говоря, нить его жизни мерно струилась из чьих-то божественных рук, скользила меж пальцев.
1	Образно	образно	ADV	_	Degree=Pos	2	advmod	2:advmod	_
2	говоря	говорить	VERB	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	8	parataxis	8:parataxis	SpaceAfter=No
3	,	,	PUNCT	_	_	2	punct	2:punct	_
4	нить	нить	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	8	nsubj	8:nsubj	_
5	его	его	DET	_	_	6	det	6:det	_
6	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	4	nmod	4:nmod	_
7	мерно	мерно	ADV	_	Degree=Pos	8	advmod	8:advmod	_
8	струилась	струиться	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	0	root	0:root	_
9	из	из	ADP	_	_	12	case	12:case	_
10	чьих-то	чей-то	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	12	amod	12:amod	_
11	божественных	божественный	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	12	amod	12:amod	_
12	рук	рука	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	8	obl	8:obl	SpaceAfter=No
13	,	,	PUNCT	_	_	14	punct	14:punct	_
14	скользила	скользить	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	8	conj	8:conj	_
15	меж	меж	ADP	_	_	16	case	16:case	_
16	пальцев	палец	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	14	obl	14:obl	SpaceAfter=No
17	.	.	PUNCT	_	_	8	punct	8:punct	_

# sent_id = uppsalaBitov_2.xml_4
# text = Без излишней стремительности, без обрывов и узлов, она, эта нить, находилась в ровном и несильном натяжении и лишь временами немного провисала.
1	Без	без	ADP	_	_	3	case	3:case	_
2	излишней	излишний	ADJ	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	3	amod	3:amod	_
3	стремительности	стремительность	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	15	obl	15:obl	SpaceAfter=No
4	,	,	PUNCT	_	_	6	punct	6:punct	_
5	без	без	ADP	_	_	6	case	6:case	_
6	обрывов	обрыв	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	3	conj	3:conj	_
7	и	и	CCONJ	_	_	8	cc	8:cc	_
